Krankenkasse,Jahr,Quartal,time,churn_rel,predicted_effect_cf
aok rheinland-pfalz/saarland,2016,1,2016 Q1,1.859108027930347,-0.9013899942311248
aok rheinland-pfalz/saarland,2016,2,2016 Q2,0.7778378649599429,-2.3791585238532775
aok rheinland-pfalz/saarland,2016,3,2016 Q3,1.0027427997357885,-1.8557514358388594
aok rheinland-pfalz/saarland,2016,4,2016 Q4,0.46610522256935166,-1.8841753639291539
aok rheinland-pfalz/saarland,2017,1,2017 Q1,-0.11906592130527653,-0.003023196915258205
aok rheinland-pfalz/saarland,2017,2,2017 Q2,0.8201544243908883,0.034573425511944665
aok rheinland-pfalz/saarland,2017,3,2017 Q3,0.37106414309844515,0.10089725739085123
aok rheinland-pfalz/saarland,2017,4,2017 Q4,0.6003320434914405,0.2800252043344876
aok rheinland-pfalz/saarland,2018,1,2018 Q1,-0.40448146591289275,0.11809683018138628
aok rheinland-pfalz/saarland,2018,2,2018 Q2,0.2183509550162579,0.19750385326760564
aok rheinland-pfalz/saarland,2018,3,2018 Q3,0.19069453635980782,0.34192002452077375
aok rheinland-pfalz/saarland,2018,4,2018 Q4,0.44596566739904114,0.44002449684114026
aok rheinland-pfalz/saarland,2019,1,2019 Q1,-0.9229862651615919,0.10772826927464896
aok rheinland-pfalz/saarland,2019,2,2019 Q2,0.5208512912457333,0.27516267978233977
aok rheinland-pfalz/saarland,2019,3,2019 Q3,-0.8563343444845809,0.3477534283701675
aok rheinland-pfalz/saarland,2019,4,2019 Q4,0.3522386833322341,0.3858429337494187
aok rheinland-pfalz/saarland,2020,1,2020 Q1,-0.7821598601162036,0.11384098322263601
aok rheinland-pfalz/saarland,2020,2,2020 Q2,0.6782208159280908,0.10017612428852747
aok rheinland-pfalz/saarland,2020,3,2020 Q3,0.17191822559683342,0.17979460726362215
aok rheinland-pfalz/saarland,2020,4,2020 Q4,0.01787292779014168,0.36177610931172327
aok rheinland-pfalz/saarland,2021,1,2021 Q1,-0.773781009639968,0.35526675242005185
aok rheinland-pfalz/saarland,2021,2,2021 Q2,0.1295352245765424,0.15263530770390282
aok rheinland-pfalz/saarland,2021,3,2021 Q3,0.22655590600151038,0.4760422808271969
aok rheinland-pfalz/saarland,2021,4,2021 Q4,0.1197783451994612,0.546472607538483
aok rheinland-pfalz/saarland,2022,1,2022 Q1,-0.7527938238946175,0.3165988605558106
aok rheinland-pfalz/saarland,2022,2,2022 Q2,0.2913472689729302,0.05587347879747338
aok rheinland-pfalz/saarland,2022,3,2022 Q3,0.7609648361566232,0.23046150880243363
aok rheinland-pfalz/saarland,2022,4,2022 Q4,0.7705052693000427,0.5527029040189996
aok rheinland-pfalz/saarland,2023,1,2023 Q1,-0.4407987795236895,0.5906433686823432
aok rheinland-pfalz/saarland,2023,2,2023 Q2,0.14261156215996962,0.20072131863052267
aok rheinland-pfalz/saarland,2023,3,2023 Q3,0.20712985316604357,0.09522742731300007
aok rheinland-pfalz/saarland,2023,4,2023 Q4,0.22060301722478626,0.297309548374713
aok rheinland-pfalz/saarland,2024,1,2024 Q1,-0.7144480472713655,0.3687858619162953
aok rheinland-pfalz/saarland,2024,2,2024 Q2,0.47489014336975344,0.17062076046374902
aok rheinland-pfalz/saarland,2024,3,2024 Q3,0.30515000802181935,0.047906538341052365
aok rheinland-pfalz/saarland,2024,4,2024 Q4,0.31840375857189623,0.10294843092192038
aok rheinland-pfalz/saarland,2025,1,2025 Q1,-0.699412939564557,0.2798861622632569
